Index,Variant,"Major area, region, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
38.0,Estimates,Central African Republic,,140.0,0.0,0.0,1.514,1.512,-2.088,-0.093,3.278,-2.946,2.384,0.64,-2.313,0.235,0.428
39.0,Estimates,Chad,,148.0,0.0,-0.174,-0.317,-2.355,-2.537,-8.161,-5.465,0.051,-0.32,1.81,4.757,1.275,1.542
40.0,Estimates,Congo,,178.0,0.0,0.0,0.0,0.08,0.961,-0.882,0.216,0.171,1.216,2.422,-0.802,2.636,-2.763
41.0,Estimates,Democratic Republic of the Congo,,180.0,0.0,1.043,1.504,2.589,0.256,0.818,-3.172,0.459,6.234,-4.461,-0.928,-0.142,-0.268
42.0,Estimates,Equatorial Guinea,,226.0,0.0,0.0,0.0,0.0,-52.916,-26.153,48.597,8.673,7.267,8.17,8.645,5.906,5.083
43.0,Estimates,Gabon,,266.0,1.255,1.222,3.648,5.768,0.968,1.45,1.282,1.122,0.981,1.651,1.466,1.311,0.612
44.0,Estimates,Sao Tome and Principe,,678.0,-30.776,-11.307,-28.367,-2.14,-6.398,-2.751,-12.088,-11.051,-9.36,-12.62,-7.715,-6.912,-6.2
45.0,Estimates,Northern Africa,,912.0,-1.424,-1.316,-1.932,-2.236,-2.996,-1.706,-0.63,-0.763,0.614,-1.724,-1.626,-1.825,-1.853
46.0,Estimates,Algeria,,12.0,-6.639,-3.662,-4.787,-1.786,-3.171,-2.495,-0.773,-0.77,-0.939,-1.094,-1.274,-2.062,-0.757
47.0,Estimates,Egypt,,818.0,-0.45,-0.395,-0.346,-1.46,-2.978,-2.749,-1.681,-0.777,-1.523,-0.624,-0.189,-0.711,-0.497
48.0,Estimates,Libya,,434.0,0.0,6.901,5.824,5.011,4.955,3.959,6.449,0.267,0.171,0.342,-0.419,-2.718,-15.998
49.0,Estimates,Morocco,,504.0,0.0,-0.228,-3.626,-6.309,-5.873,-3.094,-3.006,-3.521,-3.582,-3.988,-4.684,-3.699,-1.869
50.0,Estimates,Sudan,,729.0,0.0,0.0,0.0,0.0,0.359,2.718,2.792,1.617,12.08,-3.714,-2.863,-2.937,-4.191
51.0,Estimates,Tunisia,,788.0,-0.989,-9.479,-6.535,-4.019,-3.624,-2.398,2.501,1.26,3.236,-0.783,-2.809,-0.635,-0.602
52.0,Estimates,Western Sahara,,732.0,64.156,61.588,59.718,53.659,-29.454,107.693,12.241,10.72,8.849,19.073,49.087,20.216,8.763
53.0,Estimates,Southern Africa,,913.0,-0.418,-0.371,0.62,1.355,1.46,0.178,0.603,-0.494,3.406,0.536,3.608,4.691,1.948
54.0,Estimates,Botswana,,72.0,-2.267,-8.051,-5.358,-1.868,0.614,3.266,0.11,0.906,2.417,2.964,2.364,1.915,1.856
55.0,Estimates,Lesotho,,426.0,-5.257,-6.345,-5.603,-4.559,-4.41,-1.065,-3.713,-8.179,-5.531,-8.247,-3.648,-2.481,-1.93
56.0,Estimates,Namibia,,516.0,0.0,0.0,0.0,-0.238,-0.67,-9.296,-5.391,11.664,3.061,3.997,-5.096,-4.739,-0.118
57.0,Estimates,South Africa,,710.0,-0.094,0.164,1.238,1.899,1.922,0.535,1.129,-0.765,4.115,0.736,4.599,5.612,2.262
58.0,Estimates,Swaziland,,748.0,-1.899,-1.206,-5.349,-4.524,-3.27,-3.381,-4.43,4.374,-8.377,-2.368,-8.5,-1.044,-0.968
59.0,Estimates,Western Africa,3.0,914.0,-0.068,0.077,-0.246,-0.341,-0.712,-0.566,-0.942,-1.011,-0.145,-0.496,-0.476,-0.427,-0.594
60.0,Estimates,Benin,,204.0,-2.018,-1.943,-1.919,-1.714,-1.611,-1.111,-0.542,-0.376,3.823,-0.906,2.613,1.13,-0.196
61.0,Estimates,Burkina Faso,,854.0,-4.643,-4.372,-5.787,-5.36,-5.782,-6.701,-5.976,-4.443,-3.174,-2.535,-1.998,-1.721,-1.482
62.0,Estimates,Cabo Verde,,132.0,-6.313,-22.788,-1.076,3.403,-25.725,-20.053,-13.552,-16.945,-3.492,-1.178,-4.32,-10.726,-4.373
63.0,Estimates,Côte d'Ivoire,,384.0,4.947,6.192,10.397,12.683,13.504,11.296,9.336,5.823,5.645,2.328,-4.271,-2.3,0.467
64.0,Estimates,Gambia,,270.0,11.757,21.653,-1.682,0.056,3.88,-1.201,5.829,11.739,-2.986,-4.605,-2.059,-1.754,-1.463
65.0,Estimates,Ghana,,288.0,2.701,4.606,0.0,-8.879,-3.56,-10.934,3.504,-0.439,-0.208,-1.266,1.646,1.656,-0.387
66.0,Estimates,Guinea,,324.0,0.0,-0.576,-0.743,-0.89,-12.828,-15.925,-1.586,5.847,23.026,-5.909,-7.971,-1.075,-0.169
67.0,Estimates,Guinea-Bissau,,624.0,-3.601,-3.351,-6.304,-2.12,-4.026,-6.878,-6.686,-5.597,-5.364,-4.807,-4.319,-3.229,-1.15
68.0,Estimates,Liberia,,430.0,-0.003,1.499,1.348,1.648,1.443,1.357,0.0,-37.207,-28.689,36.204,-3.246,9.717,-0.945
69.0,Estimates,Mali,,466.0,-1.447,-1.917,-2.594,-3.412,-3.076,-5.157,-5.845,-11.785,-3.829,-2.745,-1.122,-1.438,-3.692
70.0,Estimates,Mauritania,,478.0,-0.37,-0.399,-0.393,-0.516,-0.961,-1.355,-1.951,-3.197,-1.349,0.785,2.046,-1.186,-1.045
71.0,Estimates,Niger,,562.0,0.362,-1.581,-0.631,-0.549,-0.569,-0.652,-2.904,-2.493,-0.062,0.467,-0.461,-0.383,-0.315
72.0,Estimates,Nigeria,,566.0,0.017,0.013,0.004,-0.163,-0.129,2.491,-1.705,-0.204,-0.188,-0.164,-0.259,-0.401,-0.351
73.0,Estimates,Senegal,,686.0,2.513,2.956,2.93,4.399,2.877,-5.15,-2.835,-1.728,-1.726,-4.52,-2.861,-2.742,-1.424
74.0,Estimates,Sierra Leone,,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.393,-23.169,-7.596,21.901,2.213,-0.687
75.0,Estimates,Togo,,768.0,-6.541,-7.509,-9.472,14.531,-4.419,-7.795,3.348,-1.136,-4.708,-1.31,-0.382,-0.334,-0.292
76.0,Estimates,ASIA,,935.0,0.01,0.161,0.045,0.036,-0.128,-0.102,-0.013,-0.155,-0.506,-0.35,-0.413,-0.56,-0.293
77.0,Estimates,Eastern Asia,,906.0,-0.152,0.028,-0.15,0.175,-0.207,0.003,0.053,-0.053,-0.156,-0.06,-0.159,-0.157,-0.123
78.0,Estimates,China,4.0,156.0,-0.058,-0.003,-0.313,-0.003,-0.26,-0.091,-0.051,-0.028,-0.138,-0.081,-0.333,-0.333,-0.265
79.0,Estimates,"China, Hong Kong SAR",5.0,344.0,14.89,12.744,13.056,-9.165,3.2,17.09,3.151,5.716,5.221,17.042,-1.211,1.293,4.201
80.0,Estimates,"China, Macao SAR",6.0,446.0,-39.514,-36.219,20.934,31.52,-5.611,-4.863,24.147,22.813,9.942,9.732,13.273,22.466,12.475
81.0,Estimates,Dem. People's Republic of Korea,,408.0,-11.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,Estimates,Japan,,392.0,0.128,-1.036,0.441,1.747,0.852,0.079,0.36,-1.037,0.732,0.027,0.985,0.7,0.551
83.0,Estimates,Mongolia,,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.892,-4.469,-1.219,-1.145,-1.058
